date,province,total_cases,new_cases,incidence,incidence_trend
2020-03-03,Brescia,86,26.0,2.070992013139648,1.9230640122011011
2020-03-03,Pavia,122,39.0,7.217196914740847,3.463197054326194
2020-03-03,Cremona,287,64.0,17.982175168863865,13.205659889634399
2020-03-03,Mantova,15,10.0,2.4574915400853734,1.1234247040390277
2020-03-03,Lecco,4,1.0,0.2985422183478077,0.469137771689412
2020-03-03,Lodi,482,98.0,43.09359224667124,34.98998670757417
2020-03-03,Monza e della Brianza,9,1.0,0.11491703564611529,0.22983407129223057
2020-03-04,Varese,11,4.0,0.45204073791130056,0.3713191775699969
2020-03-04,Como,5,1.0,0.16732425097299053,0.5258762173436845
2020-03-04,Sondrio,4,1.0,0.5542469170015242,0.2375343930006532
2020-03-04,Milano,145,52.0,1.592489818018226,1.44811574110998
2020-03-04,Bergamo,423,51.0,4.602364713038048,8.39254741789291
2020-03-04,Brescia,127,41.0,3.2657950976432906,4.540251721113843
2020-03-04,Pavia,126,4.0,0.7402253245888047,4.3884787100622
2020-03-04,Cremona,333,46.0,12.924688402620902,17.099121923964297
2020-03-04,Mantova,22,7.0,1.7202440780597612,1.579815990054883
2020-03-04,Lecco,5,1.0,0.2985422183478077,1.4927110917390383
2020-03-04,Lodi,559,77.0,33.859251050955976,36.05790371660247
2020-03-04,Monza e della Brianza,11,2.0,0.22983407129223057,0.9029195657909058
2020-03-05,Varese,17,6.0,0.6780611068669509,0.45204073791130056
2020-03-05,Como,11,6.0,1.0039455058379432,0.5975866106178231
2020-03-05,Sondrio,4,0.0,0.0,0.2375343930006532
2020-03-05,Milano,197,52.0,1.592489818018226,1.5749899299081354
2020-03-05,Bergamo,537,114.0,10.287638770320342,10.158720991243646
2020-03-05,Brescia,155,28.0,2.230299091073467,5.143342801863301
2020-03-05,Pavia,151,25.0,4.62640827868003,4.362042091326885
2020-03-05,Cremona,406,73.0,20.510918551985345,18.102591520441074
2020-03-05,Mantova,26,4.0,0.9829966160341493,1.8255651440634202
2020-03-05,Lecco,8,3.0,0.895626655043423,2.1750933051054555
2020-03-05,Lodi,658,99.0,43.533322779800535,31.974691623258977
2020-03-05,Monza e della Brianza,19,8.0,0.9193362851689223,0.8700861270348729
2020-03-06,Varese,23,6.0,0.6780611068669509,0.6457724827304294
2020-03-06,Como,11,0.0,0.0,0.9083316481390913
2020-03-06,Sondrio,4,0.0,0.0,0.31671252400087097
2020-03-06,Milano,267,70.0,2.1437362934860733,1.9599874683301242
2020-03-06,Bergamo,623,86.0,7.7608503004171006,12.91756146348494
2020-03-06,Brescia,182,27.0,2.1506455521065573,7.726393279790225
2020-03-06,Pavia,180,29.0,5.366633603268835,5.630999790621979
2020-03-06,Cremona,452,46.0,12.924688402620902,27.816177214336292
2020-03-06,Mantova,32,6.0,1.474494924051224,3.405381134118303
2020-03-06,Lecco,11,3.0,0.895626655043423,2.686879965130269
2020-03-06,Lodi,739,81.0,35.61817318347317,34.17334428890547
2020-03-06,Monza e della Brianza,20,1.0,0.11491703564611529,0.9193362851689223
2020-03-07,Varese,27,4.0,0.45204073791130056,0.6942054189352116
2020-03-07,Como,23,12.0,2.0078910116758864,1.003945505837943
2020-03-07,Sondrio,6,2.0,1.1084938340030484,0.31671252400087097
2020-03-07,Milano,361,94.0,2.8787315941098703,2.1831110417337767
2020-03-07,Bergamo,761,138.0,12.453457458808835,14.18095569843656
2020-03-07,Brescia,413,231.0,18.3999675013561,8.010870204672043
2020-03-07,Pavia,221,41.0,7.58730957703525,5.34019698453352
2020-03-07,Cremona,562,110.0,30.906863571484763,26.89298518557765
2020-03-07,Mantova,46,14.0,3.4404881561195224,3.65113028812684
2020-03-07,Lecco,35,24.0,7.165013240347384,3.625155508509093
